item_name,synonym
"GE Miniature Circuit Breaker: THQB, 30 A, 120/240V AC, Three Phase, 10kA at 120/240V AC, Std","ge miniature circuit breaker: thqb, 30 a, 120/240v ac, three phase, 10ka at 120/240v ac, std"
"GE Molded Case Circuit Breaker: 70 A Amps, 14kA at 277/480V AC","ge molded case circuit breaker: 70 a amps, 14ka at 277/480v ac"
GE Q-Line 30 Amp 2 in. Double-Pole Circuit Breaker,ge q-line 30 amp 2 in. double-pole circuit breaker
GFI Cover Plate,gfi cover plate
Gas Connector,gas connector
Grounding pigtails,grounding pigtails
H E L P E R,h e l p e r
"HUBBELL GFCI Receptacle: Duplex, Black, 5-20R, 20 A, 125V AC","hubbell gfci receptacle: duplex, black, 5-20r, 20 a, 125v ac"
Hand dryer,hand dryer
Hand dryer thin air,hand dryer thin air
Hand dryer wxtreme air with heat and boost,hand dryer wxtreme air with heat and boost
Handryer,handryer
Hardware and Misc.,hardware and misc.
Heat Trace,heat trace
Heavy duty outlet,heavy duty outlet
INCURRED,incurred
Incured time,incured time
Inducer Motor and Wiring,inducer motor and wiring
Industrial boxes,industrial boxes
Installation Hardware,installation hardware
J,j
"KIT,THERMOSTAT CONTROL,DRY,82-200F","kit,thermostat control,dry,82-200f"
Knockouts,knockouts
L A B O R,l a b o r
LED Driver,led driver
LED transformer driver,led transformer driver
Led direct driver and bulb,led direct driver and bulb
"Leviton 15 Amp Self-Test SmartlockPro Combo Duplex Guide Light and Tamper Resistant GFCI Outlet, White","leviton 15 amp self-test smartlockpro combo duplex guide light and tamper resistant gfci outlet, white"
"Leviton Decora 20 Amp 125-Volt Combination Duplex Outlet and USB Outlet, White","leviton decora 20 amp 125-volt combination duplex outlet and usb outlet, white"
Light cover,light cover
Lovato DPBF1810A 30A 120v AC Definite purpose contactor,lovato dpbf1810a 30a 120v ac definite purpose contactor
MC Wires,mc wires
METALLIC WEATHERPROOF JUNCTION BOX,metallic weatherproof junction box
Manufacturers Complete menu board kit,manufacturers complete menu board kit
Material,material
Materials,materials
Materials and parts mssing,materials and parts mssing
Mc cable,mc cable
Mc connectors,mc connectors
Mercury Relay,mercury relay
Metallic straps,metallic straps
Mis,mis
Misc Material,misc material
Misc electrical parts wire nuts tape etc,misc electrical parts wire nuts tape etc
Misc screws tape wirenuts,misc screws tape wirenuts
Misc tape hardware wire nuts. Bracket,misc tape hardware wire nuts. bracket
Misc.,misc.
"Misc. Tape, Wirenuts, Anchors, Etc.","misc. tape, wirenuts, anchors, etc."
"Miscellaneous Materials (wire nuts, mounting hardware)","miscellaneous materials (wire nuts, mounting hardware)"
Miscellaneouss Materials Screws & Anchors,miscellaneouss materials screws & anchors
"Motor mount, Cable Ties, and fastening hardware","motor mount, cable ties, and fastening hardware"
Mounting Brackets and Fasteners,mounting brackets and fasteners
Mounting Hardware,mounting hardware
New Outlet,new outlet
PARTS,parts
PVC PIPE 2/4,pvc pipe 2/4
PVC PIPE CEMENT,pvc pipe cement
"Patterson Fan 30"" High Velocity Drum Fan w/ Yoke Mount, 115V, 12,000 CFM, 1 HP","patterson fan 30"" high velocity drum fan w/ yoke mount, 115v, 12,000 cfm, 1 hp"
Piping,piping
Plantronics power supply,plantronics power supply
Plumbing Connections,plumbing connections
Port hookup coupler and cable,port hookup coupler and cable
"Power Cord, Wire Nuts / Connectors, Electrical Tape","power cord, wire nuts / connectors, electrical tape"
Power Drops,power drops
Power cell,power cell
Power cord,power cord
Pressure switch,pressure switch
Pro-Twist #8 x 1 in. Phillips Pan-Head Self-Drilling Screws (1 lb. Pack),pro-twist #8 x 1 in. phillips pan-head self-drilling screws (1 lb. pack)
Progress Lighting 2-Light Brushed Nickel Spotlight Fixture,progress lighting 2-light brushed nickel spotlight fixture
Push switch.,push switch.
Quoted job,quoted job
RACO Electrical Box: Steel w/ Cover,raco electrical box: steel w/ cover
